20,40,60,zip,total,0,80
192,346,226,2833,900,76,60
659,1937,1588,2835,5505,1150,171
12,123,0,2836,135,0,0
481,1066,1145,2837,3521,620,209
997,1109,405,2838,3904,1062,331
280,662,358,2839,1782,398,84
7573,5393,4464,2840,23267,4770,1067
1416,69,0,2841,1499,14,0
3958,4366,3213,2842,16079,3581,961
4815,6476,4863,2852,22129,4875,1100
1880,2874,2082,2857,9044,1775,433
272,345,53,2858,733,63,0
1653,2423,1281,2859,7426,1734,335
15144,11836,6321,2860,46958,12375,1282
6889,7243,4390,2861,25163,5616,1025
6311,4500,1805,2863,19395,6297,482
7659,10507,6828,2864,34452,7744,1714
3987,4678,3304,2865,16784,3872,943
2831,5317,3818,2871,17165,4183,1016
137,73,71,2872,298,0,17
42,39,93,2873,215,41,0
1019,2085,1023,2874,6245,1930,188
109,237,95,2875,611,170,0
61,40,28,2876,180,51,0
3222,4535,4260,2878,15870,2928,925
4472,5654,4941,2879,20736,4365,1304
1671,649,451,2881,7842,4930,141
4678,2857,3719,2882,13654,1745,655
2831,3067,2214,2885,10492,1896,484
6671,8555,5618,2886,28695,5613,2238
5042,5737,3628,2888,19328,3859,1062
6826,8315,5582,2889,27461,5451,1287
4703,5944,4867,2891,21031,4148,1369
982,1624,1004,2892,4977,1072,295
9149,7178,5394,2893,29260,5963,1576
192,205,39,2894,586,94,56
12038,11118,6550,2895,41508,9964,1838
2414,3547,2875,2896,12121,2617,668
282,560,323,2898,1441,263,13
4913,1928,1704,2903,10890,1961,384
8443,7829,5686,2904,30702,7063,1681
8006,5918,3651,2905,25497,7178,744
11699,5970,3708,2906,28745,6263,1105
10132,6605,2803,2907,29006,8682,784
13236,8073,3898,2908,37309,10924,1178
14333,9851,4007,2909,41524,12418,915
5880,5877,3509,2910,21607,5629,712
4673,4459,2429,2911,15812,3349,902
700,0,0,2912,1362,662,0
6492,5533,3632,2914,21533,4142,1734
4522,4813,3098,2915,16778,2930,1415
2044,2780,1722,2916,8991,2020,425
3275,3565,2682,2917,13956,3770,664
